,plot,biome,total_richness,native_richness,non_native_richness,relative_non_native_native_proportion,state,latitude,longitude
67,NTABRT0001,Desert shrublands,35,35,0,0,NT,-22.2836,133.2473278
68,NTABRT0001,Desert shrublands,38,37,1,0.026315789,NT,-22.2836,133.2473278
69,NTABRT0002,Desert shrublands,32,32,0,0,NT,-22.28366944,133.2506306
70,NTABRT0002,Desert shrublands,41,41,0,0,NT,-22.28366944,133.2506306
71,NTABRT0003,Desert shrublands,47,46,1,0.021276596,NT,-22.28358056,133.2698583
72,NTABRT0003,Desert shrublands,49,49,0,0,NT,-22.28358056,133.2698583
73,NTABRT0004,Desert shrublands,48,47,1,0.020833333,NT,-22.28980833,133.6164222
74,NTABRT0004,Desert shrublands,49,48,1,0.020408163,NT,-22.28980833,133.6164222
75,NTABRT0005,Desert shrublands,41,41,0,0,NT,-22.29108056,133.612075
76,NTABRT0005,Desert shrublands,53,53,0,0,NT,-22.29108056,133.612075
77,NTABRT0006,Desert shrublands,54,53,1,0.018518519,NT,-22.28908056,133.6132556
78,NTABRT0006,Desert shrublands,51,50,1,0.019607843,NT,-22.28908056,133.6132556
79,NTABRT0007,Desert shrublands,47,47,0,0,NT,-22.2883483,133.6380666
80,NTABRT0008,Desert shrublands,29,29,0,0,NT,-21.9042505,133.448367
81,NTABRT0009,Desert shrublands,33,33,0,0,NT,-23.026766,133.599562
82,NTADMR0001,Desert shrublands,49,49,0,0,NT,-19.3530953,134.5673747
83,NTADMR0002,Desert shrublands,35,35,0,0,NT,-19.5750838,134.2030725
84,NTAFIN0001,Desert shrublands,62,59,3,0.048387097,NT,-24.12430278,133.4679222
85,NTAFIN0001,Desert shrublands,47,45,2,0.021276596,NT,-24.12430278,133.4679222
86,NTAFIN0001,Desert shrublands,32,31,1,0.03125,NT,-24.12430278,133.4679222
87,NTAFIN0002,Desert shrublands,46,43,3,0.02173913,NT,-24.00942222,133.4343111
88,NTAFIN0002,Desert shrublands,50,47,3,0.04,NT,-24.00942222,133.4343111
89,NTAFIN0002,Desert shrublands,37,36,1,0.027027027,NT,-24.00942222,133.4343111
90,NTAFIN0003,Desert shrublands,44,37,7,0.113636364,NT,-24.13220278,133.4770083
91,NTAFIN0003,Desert shrublands,35,31,4,0.057142857,NT,-24.13220278,133.4770083
92,NTAFIN0003,Desert shrublands,28,25,3,0.071428571,NT,-24.13220278,133.4770083
93,NTAFIN0004,Desert shrublands,43,42,1,0.023255814,NT,-24.18724167,133.3763667
94,NTAFIN0004,Desert shrublands,26,26,0,0,NT,-24.18724167,133.3763667
95,NTAFIN0004,Desert shrublands,39,39,0,0,NT,-24.18724167,133.3763667
96,NTAFIN0005,Desert shrublands,56,55,1,0.017857143,NT,-24.1965,133.3739361
97,NTAFIN0005,Desert shrublands,38,36,2,0.052631579,NT,-24.1965,133.3739361
98,NTAFIN0005,Desert shrublands,43,42,1,0.023255814,NT,-24.1965,133.3739361
99,NTAFIN0006,Desert shrublands,31,30,1,0.032258065,NT,-24.17759167,133.3794028
100,NTAFIN0006,Desert shrublands,43,42,1,0.023255814,NT,-24.17759167,133.3794028
101,NTAFIN0006,Desert shrublands,39,37,2,0.025641026,NT,-24.17759167,133.3794028
102,NTAFIN0007,Desert shrublands,29,27,2,0.034482759,NT,-23.94118611,133.4360389
103,NTAFIN0007,Desert shrublands,33,31,2,0.03030303,NT,-23.94118611,133.4360389
104,NTAFIN0007,Desert shrublands,27,25,2,0.037037037,NT,-23.94118611,133.4360389
105,NTAFIN0008,Desert shrublands,27,23,4,0.111111111,NT,-23.930625,133.4154944
106,NTAFIN0008,Desert shrublands,41,37,4,0.073170732,NT,-23.930625,133.4154944
107,NTAFIN0008,Desert shrublands,23,20,3,0.086956522,NT,-23.930625,133.4154944
108,NTAFIN0009,Desert shrublands,40,39,1,0.025,NT,-24.12801944,133.3908944
109,NTAFIN0009,Desert shrublands,46,45,1,0.02173913,NT,-24.12801944,133.3908944
110,NTAFIN0009,Desert shrublands,41,40,1,0.024390244,NT,-24.12801944,133.3908944
111,NTAFIN0010,Desert shrublands,39,37,2,0.051282051,NT,-24.13329167,133.3732972
112,NTAFIN0010,Desert shrublands,52,51,1,0.019230769,NT,-24.13329167,133.3732972
113,NTAFIN0010,Desert shrublands,43,42,1,0.023255814,NT,-24.13329167,133.3732972
114,NTAFIN0011,Desert shrublands,39,38,1,0.025641026,NT,-24.16188056,133.3271806
115,NTAFIN0011,Desert shrublands,39,39,0,0,NT,-24.16188056,133.3271806
116,NTAFIN0011,Desert shrublands,34,34,0,0,NT,-24.16188056,133.3271806
117,NTAFIN0012,Desert shrublands,28,28,0,0,NT,-24.56922778,133.1420972
118,NTAFIN0013,Desert shrublands,62,59,3,0.032258065,NT,-24.54153611,133.1845722
119,NTAFIN0014,Desert shrublands,53,51,2,0.037735849,NT,-24.53091111,133.1695417
120,NTAFIN0015,Desert shrublands,26,22,4,0.115384615,NT,-24.51569722,133.222825
121,NTAFIN0016,Desert shrublands,38,36,2,0.026315789,NT,-24.48436389,133.3029667
122,NTAFIN0017,Desert shrublands,35,31,4,0.085714286,NT,-24.37748611,132.9602861
123,NTAFIN0018,Desert shrublands,57,56,1,0.01754386,NT,-24.36466389,132.9494417
124,NTAFIN0019,Desert shrublands,68,65,3,0.029411765,NT,-24.35817778,132.9357472
125,NTAFIN0020,Desert shrublands,48,45,3,0.0625,NT,-24.66856944,133.4016861
126,NTAFIN0021,Desert shrublands,38,37,1,0,NT,-24.67201667,133.4638722
127,NTAFIN0022,Desert shrublands,64,63,1,0.015625,NT,-24.63118889,133.4521833
128,NTAFIN0023,Desert shrublands,47,46,1,0.021276596,NT,-24.55977222,133.4373639
129,NTAFIN0024,Desert shrublands,36,32,4,0.055555556,NT,-24.91757222,133.6592028
130,NTAFIN0025,Desert shrublands,52,51,1,0.019230769,NT,-24.81836389,133.6764556
131,NTAFIN0026,Desert shrublands,55,53,2,0.018181818,NT,-23.90725556,133.7499056
132,NTAFIN0027,Desert shrublands,36,35,1,0.027777778,NT,-23.83572778,133.6333028
133,NTAFIN0028,Desert shrublands,48,46,2,0.041666667,NT,-25.76993056,133.3930806
134,NTAFIN0029,Desert shrublands,44,43,1,0,NT,-25.737475,133.4384833
135,NTAFIN0030,Desert shrublands,60,57,3,0.033333333,NT,-25.94810833,133.7812444
136,NTAFIN0031,Desert shrublands,51,51,0,0,NT,-25.89989167,133.8965944
137,NTAFIN0032,Desert shrublands,40,39,1,0.025,NT,-23.95376667,133.92255
138,NTAFIN0033,Desert shrublands,64,62,2,0.03125,NT,-24.03365833,133.9717556
139,NTAMAC0001,Desert shrublands,58,57,1,0.017241379,NT,-23.96590833,133.3723
140,NTAMAC0001,Desert shrublands,34,32,2,0.029411765,NT,-23.96590833,133.3723
